id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1650679664418107393,2023-04-25 01:54:34+00:00,Twitter for Android,RT @WarintheFuture: A beautiful #AnzacDay Dawn Service by the water at Redcliffe this morning. Lest we forget. https://t.co/LdZJlSQBl0, A beautiful Dawn Service by the water at Redcliffe this morning. Lest we forget.,0,31,AnzacDay,AnzacDay
1650771048730869760,2023-04-25 07:57:42+00:00,Twitter for Android,"Thanks for coming, bye bye, back to Wollongong 👋
#EastsToWin 
#NRLRoostersDragons",Thanks coming bye bye back Wollongong,2,0,"EastsToWin, NRLRoostersDragons",NRLRoostersDragons
1650771383864152066,2023-04-25 07:59:02+00:00,Twitter for iPhone,The umpires still couldn’t get the job done for the bombers #aflpiesbombers #gopies #Collingwood,The umpires still couldnt get job done bombers,0,0,"aflpiesbombers, gopies, Collingwood",Collingwood
1650764752812113920,2023-04-25 07:32:41+00:00,Twitter for iPhone,Saints look like a different side in the second half. Sloan shifting up into the line at speed #NRLRoostersDragons,Saints look like different side second half Sloan shifting line speed,0,0,NRLRoostersDragons,NRLRoostersDragons
1650444613688397825,2023-04-24 10:20:34+00:00,Twitter for iPad,#AFL on the Richmond bandwagon #AFLDeesTigers,Richmond bandwagon,0,0,"AFL, AFLDeesTigers",afldeestigers
1650637360277909509,2023-04-24 23:06:28+00:00,Twitter Web App,"RT @AFL: The Frank 'Checker' Hughes Medal is awarded to Jack Viney 👏

#AFLDeesTigers https://t.co/Yyv9STZ30g", The Frank Checker Hughes Medal is awarded to Jack Viney,0,3,AFLDeesTigers,afldeestigers
1650814300209160192,2023-04-25 10:49:34+00:00,Twitter for iPhone,"Well done to the ref, great win   #NRLStormWarriors",Well done ref great win,5,0,NRLStormWarriors,NRLStormWarriors
1650686093858336769,2023-04-25 02:20:07+00:00,aflfeeds.com,"LIVE AFL: Pies and Dons clash in top-four, Anzac Day blockbuster #AFL: Collingwood and Essendon will face off on Tu… https://t.co/A9fm1EM3CV",LIVE AFL Pies Dons clash top-four Anzac Day blockbuster Collingwood Essendon face Tu,0,0,AFL,Essendon
1650467593407565824,2023-04-24 11:51:53+00:00,Twitter for iPhone,"Never doubt the lucky Dees mug. 

#AFLDeesTigers https://t.co/se88gJT6ps",Never doubt the lucky Dees mug.,22,0,AFLDeesTigers,afldeestigers
1650759086588436480,2023-04-25 07:10:10+00:00,Twitter Web App,"Where's Liddle? 

#redv #NRLRoostersDragons",Wheres Liddle,2,0,"redv, NRLRoostersDragons",NRLRoostersDragons
1650815777203802118,2023-04-25 10:55:26+00:00,TweetDeck,Tucker Carson gets the boot at #FoxNews and the cartoonists are all over it! 2/2 https://t.co/xibSINJL6P,Tucker Carson gets boot cartoonists,0,0,FoxNews,Tucker
1650819612957884418,2023-04-25 11:10:41+00:00,Twitter for iPad,"Rupert Murdoch faces 'death blow' in dramatic $1.6bn Fox News trial https://t.co/F8GJjipz5u

#BoycottFoxNews

#BoycottFoxNews",Rupert Murdoch faces death blow dramatic .bn Fox News trial,0,0,"BoycottFoxNews, BoycottFoxNews",Fox News
1650809394391826432,2023-04-25 10:30:04+00:00,aflfeeds.com,Daicos confirms superstar status as Pies overrun Bombers #AFL: Essendon were superb for three quarters and defended… https://t.co/xa3OJ6DspU,Daicos confirms superstar status Pies overrun Bombers Essendon superb three quarters defended,0,0,AFL,Collingwood
1650765893037871104,2023-04-25 07:37:13+00:00,Twitter for Android,That's cooked! Not even a penalty. Head clash only. #NRLRoostersDragons,Thats cooked Not even penalty Head clash,1,0,NRLRoostersDragons,NRLRoostersDragons
1650767326525132800,2023-04-25 07:42:55+00:00,Twitter for iPhone,both of these games are cracking #NRLRoostersDragons #AFLPiesDons,games cracking,1,0,"NRLRoostersDragons, AFLPiesDons",AFLPiesDons
1650770537445232642,2023-04-25 07:55:40+00:00,Twitter for iPhone,Beautiful day for sports #AFLPiesDons,Beautiful day sports,0,0,AFLPiesDons,AFLPiesDons
1650810458734215168,2023-04-25 10:34:18+00:00,Twitter for iPhone,I reckon Victor Radley could mount a case for workplace bullying given the treatment he’s receiving from the NRL. #NRLRoostersDragons,I reckon Victor Radley could mount case workplace bullying given treatment hes receiving NRL,0,0,NRLRoostersDragons,NRLRoostersDragons
1650778823061905409,2023-04-25 08:28:36+00:00,Twitter for Android,"RT @Yasslad: A unnamed poem by Patrick Shaw-Stewart, killed in France in 1917, https://t.co/9c8xlKImdk @war_poets #ANZACDay #ANZACDay2023 #…",A unnamed poem Patrick Shaw-Stewart killed France,0,1,"ANZACDay, ANZACDay2023",LestWeForget
1650744484840476672,2023-04-25 06:12:09+00:00,Twitter Web App,"5' A less than ideal start as Tedesco opens the scoring. 

Dragons 0-6 Roosters

#redv #NRLRoostersDragons

Match c… https://t.co/LunidQGRDX",A less ideal start Tedesco opens scoring Dragons Roosters Match c,2,0,"redv, NRLRoostersDragons",NRLRoostersDragons
1650682828907065344,2023-04-25 02:07:09+00:00,Twitter Web App,HEAR ME OUT. #WWERAW https://t.co/WLmH5SlUpV,HEAR ME OUT.,0,0,WWERAW,WWERaw
1650468044483993600,2023-04-24 11:53:40+00:00,Twitter for iPhone,Roo is a star #AFLDeesTigers,Roo star,0,0,AFLDeesTigers,afldeestigers
1650681808063803393,2023-04-25 02:03:05+00:00,Twitter for iPad,RT @johncenafan61: WOOOOAAAAAH #WWERaw https://t.co/Fh2UKYjag9, WOOOOAAAAAH,0,1,WWERaw,WWERaw
1650681417456660483,2023-04-25 02:01:32+00:00,Twitter Web App,#Raw #SmackDown @WWEUniverse @wwe this is the perfect solution. vince and wwe/endeavor gets roman as one champion a… https://t.co/Q7Q59jUR65,this is the perfect solution. vince and wwe/endeavor gets roman as one champion a,0,0,"Raw, SmackDown",Roman
