id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1650675613764648960,2023-04-25 01:38:29+00:00,Twitter for Android,RT @_denisesalcedo: haha how @SeanRossSapp and I are gonna look on the @Fightful #WWERAW post show tonight having to discuss all these topi…, haha how and I are gonna look on the post show tonight having to discuss all these topi,0,10,WWERAW,WWERaw
1651087531440472064,2023-04-26 04:55:17+00:00,Twitter for iPhone,@NBAonTNT @SHAQ Loves it!🤣😂🏀👏🏾#Booker,Loves,0,0,Booker,Booker
1650893327959748609,2023-04-25 16:03:36+00:00,Twitter Web App,"If #LeafsForever blow this 3-1 (and I don't think they will but, you know, history) the memes of all the folks cele… https://t.co/jNwApYfBK7",If blow I dont think know history memes folks cele,0,0,LeafsForever,LeafsForever
1650669201537789954,2023-04-25 01:13:00+00:00,Twitter for iPhone,Portrait of Matthews tonight  #TORvsTBL https://t.co/gwCTJOMS8p,Portrait of Matthews tonight,0,0,TORvsTBL,TORvsTBL
1650005581632004104,2023-04-23 05:16:00+00:00,Twitter for Android,#TORvsTBL Leafs Are 1 Win Away From A 3 - 1 Strangle Hold On The Series So Monday Will Be A Big Test Lets Finish This Boys #GoLeafsGo,Leafs Are Win Away From A Strangle Hold On The Series So Monday Will Be A Big Test Lets Finish This Boys,1,0,"TORvsTBL, GoLeafsGo",TORvsTBL
1651083163894964224,2023-04-26 04:37:56+00:00,Twitter for iPhone,"RT @FattyPetePopPop: Ok #LeafsForever #LeafsNation 
Do the Leafs finally get past the 1st round tomorrow?

@NHL @MapleLeafs @LeafsAllDayy @…",Ok Do Leafs finally get past st round tomorrow,0,1,"LeafsForever, LeafsNation",Leafs
1650895535623098371,2023-04-25 16:12:22+00:00,Twitter for iPhone,pardon #LeafsForever https://t.co/oBcJib4uzr,pardon,0,0,LeafsForever,LeafsForever
1650790475480154116,2023-04-25 09:14:54+00:00,Twitter Web App,RT @DamianFansite_: Wwe Raw Digitals #DamianPriest #WweRaw https://t.co/YL9JfU7IJ8,Wwe Raw Digitals,0,2,"DamianPriest, WweRaw",WWERaw
1650675598077861890,2023-04-25 01:38:25+00:00,Twitter for Android,RT @WWE: Reactions to @TripleH's announcement on #WWERaw ⤵️, Reactions to s announcement on,0,137,WWERaw,WWERaw
1651450420454146048,2023-04-27 04:57:17+00:00,Twitter for iPhone,"MIAMI HEAT ARE YOU FUCKING KIDDING ME???

#HeatCulture #NBAPlayoffs",MIAMI HEAT ARE YOU FUCKING KIDDING ME,1,0,"HeatCulture, NBAPlayoffs",NBAPlayoffs
1650852371923075076,2023-04-25 13:20:51+00:00,Twitter for iPhone,"When was the last time the Toronto Maple Leafs Won a Playoff Series? #LeafsForever #TorontoMapleLeafs #LeafsNation 

https://t.co/SV28XxDcag",When last time Toronto Maple Leafs Won Playoff Series,0,0,"LeafsForever, TorontoMapleLeafs, LeafsNation",LeafsForever
1650675427109634048,2023-04-25 01:37:44+00:00,Twitter for iPhone,Lashley also would be someone I wouldn’t mind seeing win the new WHC. #WWERAW,Lashley also would be someone I wouldnt mind seeing win the new WHC.,0,0,WWERAW,WWERaw
1651079736968478723,2023-04-26 04:24:19+00:00,Twitter for iPhone,"And the Oilers take the win for Game 5!

#GoKingsGo #LetsGoOilers https://t.co/lQO9OIXTa8",And Oilers take win Game,0,0,"GoKingsGo, LetsGoOilers",LetsGoOilers
1651069648211935232,2023-04-26 03:44:14+00:00,Twitter Web App,HUGE KILL boys ty ty ty 🦾🦾🦾 #LetsGoOilers,HUGE KILL boys ty ty ty,2,0,LetsGoOilers,LetsGoOilers
1650646219373305856,2023-04-24 23:41:40+00:00,Twitter for Android,Nice play from Bassitt!! #BlueJays,Nice play from Bassitt!!,3,0,BlueJays,Bassitt
1650936617270386708,2023-04-25 18:55:37+00:00,Twitter Web App,"RT @iamKa1ne: I’m 100% all for my boy @realKILLERkross to deservingly get his 

#TickTock 
#WWERaw https://t.co/QEM8K2LnLE",Im boy deservingly get,0,1,"TickTock, WWERaw",WWERaw
1651448896038793216,2023-04-27 04:51:13+00:00,Twitter for iPhone,RT @bawpli: 30 do this to your teams favorite player. #dubnation #warriorsin6 https://t.co/TQ0AzESIO8,teams favorite player,0,2,"dubnation, warriorsin6",DubNation
1649981756660121602,2023-04-23 03:41:20+00:00,Twitter for Android,Today is the day of coming back from a minimum 2-goal deficit for extra drama 😮😬🤯 #StanleyCupPlayoffs #COLvsSEA… https://t.co/6N3jFkJsqu,Today is the day of coming back from a minimum -goal deficit for extra drama,1,0,"StanleyCupPlayoffs, COLvsSEA",TORvsTBL
1651221014297100289,2023-04-26 13:45:42+00:00,Twitter for Android,"Community #Xbox, I remind you of the contracts of Nintendo, Nvidia and other cloud services, if those contracts are… https://t.co/bvL1TARAfB",Community I remind contracts Nintendo Nvidia cloud services contracts,0,0,Xbox,Microsoft
1650674916268580867,2023-04-25 01:35:42+00:00,Twitter for Android,Interesting day of Sports. @AaronRodgers12 goes to the @nyjets and @CMPunk shows up at #WWERaw and seen speaking wi… https://t.co/2rv3NaACHK,Interesting day of Sports. goes to the and shows up at and seen speaking wi,0,0,WWERaw,WWERaw
1650766517804449792,2023-04-25 07:39:42+00:00,Bitly,"Partner with Us to Build a Strong Online Presence and Stand Out in Your Industry
#JPLTOTS
 #LakeShow
 #25aprile… https://t.co/y3Gu2jP9je",Partner Us Build Strong Online Presence Stand Out Your Industry,0,0,"JPLTOTS, LakeShow, 25aprile",bucciovertimechallenge
1649960725756928007,2023-04-23 02:17:46+00:00,Twitter for iPhone,#bucciovertimechallenge Knies/ Killorn,Knies/ Killorn,1,0,bucciovertimechallenge,Killorn
1650936628884414467,2023-04-25 18:55:39+00:00,Twitter for iPhone,WHERE MY DOMOSAPIANS AT #WWE #WWERaw #SmackDown https://t.co/IYcuGQwszx,WHERE MY DOMOSAPIANS AT,2,0,"WWE, WWERaw, SmackDown",WWERaw
