id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1650686545056223233,2023-04-25 02:21:55+00:00,Twitter for iPhone,"RT @williamhboney1: POLL Please Retweet 

Has the #NiallCollins saga shaken your confidence in

A. The Government
B. Traditional Media", POLL Please Retweet Has the saga shaken your confidence in A. The Government B. Traditional Media,0,16,NiallCollins,NiallCollins
1650808167104643072,2023-04-25 10:25:12+00:00,Twitter for iPad,"@appletony3 Tell me about it…🤦‍♀️ #Wordle675 

Wordle 675 X/6

⬜⬜🟨🟨⬜
🟨🟩⬜⬜⬜
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩",Tell Wordle X/,0,0,Wordle675,Wordle 675 X
1650641396607401985,2023-04-24 23:22:31+00:00,Twitter Web App,"Join me in the fun,
Download TEMU and cash in,
Use code &lt;113259956&gt;. #ImACeleb https://t.co/LqCRDpTEeL",Join fun Download TEMU cash Use code lt gt,0,0,ImACeleb,ImACeleb
1648775270558494722,2023-04-19 19:47:11+00:00,Twitter Web App,"Great interview by David McCullagh  on the RTÉ Six One News. The Ditch, Niall Collins #TonightVMTV @RTE_PrimeTime https://t.co/zJNy6bYMdD","Great interview by David McCullagh on the RT Six One News. The Ditch, Niall Collins",313,78,TonightVMTV,tonightvmtv
1650811091134345218,2023-04-25 10:36:49+00:00,Twitter for iPhone,"RT @unadunphy: Pecuniary interest is established. 
Beneficial interest established.
Connected person? They are still married!
#DeNiall #Nia…",Pecuniary interest established Beneficial interest established.Connected person They still married,0,3,DeNiall,NiallCollins
1648355497584611335,2023-04-18 15:59:10+00:00,Twitter for Android,"Heroin use will increase significantly if Joe Duffy gets the #LateLateShow
#liveline",Heroin use increase significantly Joe Duffy gets,0,0,"LateLateShow, liveline",liveline
1649050414141276163,2023-04-20 14:00:31+00:00,Twitter for Android,"No one was hurt Joe. It was a rocket. 

#liveline",No one hurt Joe It rocket,0,0,liveline,liveline
1650946941931384834,2023-04-25 19:36:38+00:00,BestClubInWorld,What is going on wi' Willy Gnonto? #lufc,What going wi Willy Gnonto,2,0,lufc,lufc
1650685949620150272,2023-04-25 02:19:33+00:00,Twitter for Android,"RT @Spa_Eng: Several Evacuees of Republic of Korea's Nationals Arrive in Jeddah from Sudan.
https://t.co/rmWOaufIKI
#SPAGOV https://t.co/P4…", Several Evacuees of Republic of Koreas Nationals Arrive in Jeddah from Sudan.,0,14,SPAGOV,Sudan
1650779577747136512,2023-04-25 08:31:35+00:00,Twitter for iPhone,"RT @Daily_Express: I'm A Celebrity's Shaun Ryder admits 'I nearly killed' Gillian as they're forced together

#ITV #ShaunRyder #GillianMcKe…",Im A Celebritys Shaun Ryder admits I nearly killed Gillian theyre forced together,0,1,"ITV, ShaunRyder",ImACeleb
1650395313520234496,2023-04-24 07:04:40+00:00,Twitter for iPhone,I didn’t watch the Sp*rs game yesterday but just watched the highlights- Murphy’s 2nd goal was a belter #NEWTOT,I didnt watch Sp rs game yesterday watched highlights- Murphys nd goal belter,0,0,NEWTOT,NEWTOT
1648319622834208768,2023-04-18 13:36:37+00:00,Twitter for Android,Has Joe a new #liveline alarm?,Has Joe new alarm,0,0,liveline,liveline
1650616330951745543,2023-04-24 21:42:54+00:00,Twitter for iPhone,Nah Gillian coming into #imaceleb has really made me realise anything can happen,Nah Gillian coming into has really made me realise anything can happen,0,0,imaceleb,ImACeleb
1650813492193112064,2023-04-25 10:46:21+00:00,Twitter for iPhone,"RT @btsportwwe: Thoughts on the NEW World Heavyweight Championship? 🏆

#WWERaw https://t.co/Xnq8HHtbT9",Thoughts NEW World Heavyweight Championship,0,375,WWERaw,WWERaw
1650939507972120620,2023-04-25 19:07:06+00:00,Twitter for Android,So pleased that #ImACeleb is back but it feels weird watching it in April! It's such a November/December show now.,So pleased back feels weird watching April Its November/December show,1,0,ImACeleb,ImACeleb
1650650736412303362,2023-04-24 23:59:37+00:00,Twitter for iPhone,RT @thought09155101: Me knowing I’m going to be content 9pm to 10pm every night  #ImACeleb https://t.co/p9uKcCuqbf,Me knowing Im going content pm pm every night,0,17,ImACeleb,ImACeleb
1650820550787321858,2023-04-25 11:14:24+00:00,Twitter for Android,"Oh my! #TuckerCarlson out at #FoxNews Channel as of first thing yesterday, reports @latimes .... his ouster came di… https://t.co/hok98LN8IS",Oh Channel first thing yesterday reports .... ouster came di,0,0,"TuckerCarlson, FoxNews",Tucker
