id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1652982121794007040,2023-05-01 10:23:43+00:00,Twitter for Android,RT @imyourbeem: Hi baby #THEDREAMSHOW2_in_SINGAPORE https://t.co/EgawUmRiCk,hi baby,0,2,THEDREAMSHOW2_in_SINGAPORE,THEDREAMSHOW2_in_SINGAPORE
1652954031969427463,2023-05-01 08:32:06+00:00,Twitter for Android,"RT @RobisearchICT: Happy New Month &amp; Labour Day wishes to All our Clients. Thank you for choosing Robisearch LTD!
#LabourDay Checo Richarli…",happy new month amp labour day wishes clients thank choosing robisearch ltd checo richarli,0,1,LabourDay,Richarlison
1653066862815756291,2023-05-01 16:00:27+00:00,Twitter for Android,"RT @Debbyan: haechan is never NOT sexy in Bye My First
#HAECHAN #해찬 #TDS2inSG #THEDREAMSHOW2_in_SINGAPORE
https://t.co/8r5mPCOIE7",haechan never sexy bye first //,0,2,"HAECHAN, 해찬, TDS2inSG, THEDREAMSHOW2_in_SINGAPORE",TDS2inSG
1652980696548540416,2023-05-01 10:18:03+00:00,Twitter for Android,"RT @litoldokyeomie: HUH YUNJIN. that’s it. that’s the tweet.

UNFORGIVEN IS OUT NOW
#LESSERAFIM_UNFORGIVEN

https://t.co/ils7eIts31",huh yunjin thats thats tweet.unforgiven now//,0,1,LESSERAFIM_UNFORGIVEN,LESSERAFIM_UNFORGIVEN
1652989993768615937,2023-05-01 10:55:00+00:00,TweetDeck,Day 2 of #Eurovision rehearsals in Liverpool. Our Semi 1 preview/predictions: https://t.co/WqUrmPOucm… https://t.co/3mgGgFA6wZ,day rehearsals liverpool semi preview/predictions,0,0,Eurovision,Liverpool
1652985533159866370,2023-05-01 10:37:16+00:00,Twitter for Android,"RT @ShakthiPrincess: Happy birthday My KinG.... 🔥 
#HBDAjithKumar
#AjithKumar #AK62 https://t.co/Q0DxhhJeBF",happy birthday king ....,0,20,"HBDAjithKumar, AjithKumar, AK62",HBDAjithKumar
1652972868379000832,2023-05-01 09:46:57+00:00,Twitter for iPhone,"@elsserafim Been here since debut🧡 

UNFORGIVEN IS OUT NOW 
#LESSERAFIM_UNFORGIVEN
#언포기븐들을기븐이야",since debut unforgiven,0,0,"LESSERAFIM_UNFORGIVEN, 언포기븐들을기븐이야",LESSERAFIM_UNFORGIVEN
1652985697069047808,2023-05-01 10:37:55+00:00,Twitter for Android,"RT @rameshlaus: Happy to Release @Karnataka_afc CDP for Actor #AjithKumar 's 52nd Birthday.  

Amazing design . Kudos To designers 😍😍

#Tea…",happy release cdp actor nd birthday amazing design kudos designers,0,1024,AjithKumar,HBDAjithKumar
1652981374637449224,2023-05-01 10:20:45+00:00,Twitter Web App,"RT @mpinkamin_: He looks like Samoyed im crying
 #THEDREAMSHOW2_in_SINGAPORE https://t.co/0eWNZWVmBL",looks like samoyed im crying,0,12,THEDREAMSHOW2_in_SINGAPORE,THEDREAMSHOW2_in_SINGAPORE
1652982085861388288,2023-05-01 10:23:34+00:00,Twitter for iPhone,"RT @onyours_aya82: 230501🇸🇬
TODAY HAECHAN
#THEDREAMSHOW2_in_SINGAPORE https://t.co/5G6Ny66jW9",today haechan,0,4,THEDREAMSHOW2_in_SINGAPORE,THEDREAMSHOW2_in_SINGAPORE
1653101085517815808,2023-05-01 18:16:26+00:00,Twitter for iPhone,"RT @mooinct: JISUNG DREAMING 
#TDS2inSG   #THEDREAMSHOW2_in_SG   #THEDREAMSHOW2_in_SINGAPORE https://t.co/73BAhXA35j",jisung dreaming,0,302,"TDS2inSG, THEDREAMSHOW2_in_SG, THEDREAMSHOW2_in_SINGAPORE",THEDREAMSHOW2_in_SINGAPORE
1653106924056084482,2023-05-01 18:39:38+00:00,Twitter for Android,"RT @_chweno: THIS IS TOO CUTE TO GATEKEEP, PLEASE LOOK AT HAECHAN TRYING TO CARRY ALL THOSE TOYS 😭😭😭😭😭 #TDS2inManila #HAECHAN #해찬 https://t…",cute gatekeep please look haechan trying carry toys,0,6,"TDS2inManila, HAECHAN, 해찬",haechan
1653090313316212736,2023-05-01 17:33:38+00:00,Twitter for iPhone,"Countdown mark focus 

#TDS2inSG #NCTDREAMinSG
#THEDREAMSHOW2_in_SINGAPORE https://t.co/uC7bMuBI2K",countdown mark focus,0,0,"TDS2inSG, NCTDREAMinSG, THEDREAMSHOW2_in_SINGAPORE",THEDREAMSHOW2_in_SINGAPORE
1652941002431397888,2023-05-01 07:40:19+00:00,WorldNewsInPictures,A huge #explosion has been heard as a fire rips through a UK harbour. Damn didn't Russia just launched a massive mi… https://t.co/rTiJPP3RCC,huge heard fire rips uk harbour damn didnt russia launched massive mi,0,0,explosion,Spurs
1653124346930397184,2023-05-01 19:48:52+00:00,Twitter for Android,"RT @TheSpursWatch: ❌📉Opta has predicted that #Tottenham have a 0% chance of reaching top 4.

https://t.co/JZ09oIy8mV",opta predicted chance reaching top,0,3,Tottenham,Tottenham
1653064699402141696,2023-05-01 15:51:51+00:00,Twitter for iPhone,"RT @ismshy: baby girl 🩷 
#THEDREAMSHOW2_in_SINGAPORE #THEDREAMSHOW2_in_SG 
#TDS2INSG https://t.co/SkFRkr5bhH",baby girl,0,32,"THEDREAMSHOW2_in_SINGAPORE, THEDREAMSHOW2_in_SG, TDS2INSG",TDS2inSG
1652961924395716609,2023-05-01 09:03:27+00:00,Twitter for iPhone,"#THEDREAMSHOW2_in_SINGAPORE IM INSIDE !!!

those reserved, feel free to find me now :)) https://t.co/IROZNrxb2a",im inside reserved feel free find,0,0,THEDREAMSHOW2_in_SINGAPORE,THEDREAMSHOW2_in_SINGAPORE
1653122760502026254,2023-05-01 19:42:34+00:00,Twitter for Android,"@Dr_YasminRashid #LabourDay #LabourDay2023 without #Labour we are nothing
U Help Us
Every day our freshness on face… https://t.co/juxg3y8FPe",without nothingu help usevery day freshness face,0,0,"LabourDay, LabourDay2023, Labour",Labour Day
1653115438463606806,2023-05-01 19:13:28+00:00,Twitter for Android,"RT @LuckyMbabazi: Me taking my positive energy back home after ""Labouring"" on Labour Day.🤪 #happylabourday2023 https://t.co/XuejgyNl6A",taking positive energy back home labouring labour day,0,11,happylabourday2023,Labour Day
1652963274621874176,2023-05-01 09:08:49+00:00,Twitter for Android,"Our DoF position is still vacant, Michael Edwards is still available, I'd do everything in power if I was #LFC to g… https://t.co/OJoXmOdvV5",dof position still vacant michael edwards still available id everything power g,0,0,LFC,Tottenham
1653119532242980864,2023-05-01 19:29:44+00:00,Twitter for Android,"RT @callouthae: Renjun is indeed Haechan's favorite kiyowo thing. Haechan being noisy, Renjun shy shy shy 🐻🦊 #Renhyuck #동런 #HAECHAN #RENJUN…",renjun indeed haechans favorite kiyowo thing haechan noisy renjun shy shy shy,0,39,"Renhyuck, 동런, HAECHAN, RENJUN",haechan
1653081401162448914,2023-05-01 16:58:13+00:00,SocialBee,Journalist reveals that Tottenham scouts were in France on Saturday #THFC #COYS #TTID https://t.co/OyJ6DthO8B,journalist reveals tottenham scouts france saturday,1,0,"THFC, COYS, TTID",Tottenham
1652985783698206721,2023-05-01 10:38:16+00:00,Twitter for Android,"RT @AKVinitha20: Wonderful to see lot of Designs 😍

#HBDAjithKumar #AjithKumar #Thunivu #VidaaMuyarchi #EffortsNeverFail https://t.co/Wm5wN…",wonderful see lot designs,0,109,"HBDAjithKumar, AjithKumar, Thunivu, VidaaMuyarchi, EffortsNeverFail",HBDAjithKumar
1652979648370974720,2023-05-01 10:13:53+00:00,Twitter for iPad,the hybe money is so unforgiven and le sserafiming in that mv lakshfhfkskal SLAY GIRLSSS  #LESSERAFIM_UNFORGIVEN,hybe money unforgiven le sserafiming mv lakshfhfkskal slay girlsss,0,0,LESSERAFIM_UNFORGIVEN,LESSERAFIM_UNFORGIVEN
1652976124891152384,2023-05-01 09:59:53+00:00,Twitter for iPhone,"Looney, Donte, JK and GPII are going to be vital vs the Lakers #DubNation",looney donte jk gpii going vital vs lakers,0,0,DubNation,Lakers
1653095885100953600,2023-05-01 17:55:46+00:00,Twitter for iPhone,"NOMIN BUTT DANCE 
and nana’s butt hurting after 😣

#TDS2INSG
#THEDREAMSHOW2_in_SG
#THEDREAMSHOW2_in_SINGAPORE
#JENO… https://t.co/BwP6DFSyGK",nomin butt dance nanas butt hurting,0,0,"TDS2INSG, THEDREAMSHOW2_in_SG, THEDREAMSHOW2_in_SINGAPORE, JENO",THEDREAMSHOW2_in_SINGAPORE
1652979275396526081,2023-05-01 10:12:24+00:00,IFTTT,"Breaking news. #Liverpool 4-3 Tottenham: 'A defining few weeks for Spurs, Harry Kane &amp; Daniel Levy'",breaking news tottenham defining weeks spurs harry kane amp daniel levy,0,0,Liverpool,Tottenham
1652455512917803008,2023-04-29 23:31:10+00:00,Twitter for Android,"WTT nct dream tds2 in sg tix

have: pen b qn 273x
want: pen c qn below 750

trade at venue

#TDS2inSG… https://t.co/pAQkQhpV0r",wtt nct dream tds sg tixhave pen b qn xwant pen c qn trade venue,0,0,TDS2inSG,TDS2inSG
1652982830027403264,2023-05-01 10:26:32+00:00,Twitter for Android,"@arunvijayno1 Thank u na❤

#HBDAjithKumar #VidaaMuyarchi",thank u na,0,0,"HBDAjithKumar, VidaaMuyarchi",HBDAjithKumar
1653095816721227781,2023-05-01 17:55:30+00:00,Twitter for Android,"with the cute bear headbands 🐻

#HAECHAN #YEJI #해찬 #예지 https://t.co/IRiJsXBD80",cute bear headbands,1,0,"HAECHAN, YEJI, 해찬, 예지",haechan
1652981487728463873,2023-05-01 10:21:12+00:00,Twitter for iPhone,"RT @m__arkholic: mark todayyyyy🐯🔥🔥

230501
#TDS2inSingapore
#THEDREAMSHOW2_in_SINGAPORE #THEDREAMSHOW2inSG 
#NCTDREAMinSG
#NCTDREAM_THEDREA…",mark todayyyyy,0,5,"TDS2inSingapore, THEDREAMSHOW2_in_SINGAPORE, THEDREAMSHOW2inSG, NCTDREAMinSG",THEDREAMSHOW2_in_SINGAPORE
1653081012983955462,2023-05-01 16:56:40+00:00,Twitter for Android,"RT @withyoumarktuan: 230427 OP shares a photo of Mark and Jackson

https://t.co/tvJnMmANVE

#MarkTuan #MARK #마크 #段宜恩 @marktuan @dnaofficial…",op shares photo mark jackson,0,720,"MarkTuan, MARK, 마크, 段宜恩",MARK
