id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1.65022E+18,2023-04-23 19:28:13+00:00,Twitter for iPhone,Did your #emergencyalert go off? I was with @lucystonecarver I didn’t even know it was happening ‼️🚨,Did emergencyalert go I I didnt even know happening,1,0,emergencyalert,emergencyalert
1.65023E+18,2023-04-23 20:17:27+00:00,Twitter for Android,"Omg #Malpractice is so good, im hooked already and @NiamhAlgar is absolutely phenomenal 😍 🙌 i 100% recommend watching",Omg Malpractice good im hooked already absolutely phenomenal recommend watching,6,1,Malpractice,Malpractice
1.65025E+18,2023-04-23 21:24:44+00:00,Twitter for iPhone,How mushy was that! Get it?😂 #showman,How mushy Get showman,1,0,showman,Showman
1.65031E+18,2023-04-24 01:36:43+00:00,Twitter for Android,"RT @CBKNEWS121: 🚨 Alert 🔔 ‼️

Mission Has begun 🚨

 17  pm , London #uk

Turn on your notifications 📣 

Follow @CBKNEWS121 for more updates…",Alert Mission Has begun pm London uk Turn notifications Follow updates,0,128,uk,emergencyalert
1.65024E+18,2023-04-23 21:05:37+00:00,Twitter for Android,This has freaked me out since I saw it in Salford. It was what I told everyone #Showman,This freaked since I saw Salford It I told everyone Showman,1,0,Showman,Showman
1.65027E+18,2023-04-23 22:37:58+00:00,Twitter for Android,RT @SeanKutzko: VHF/UHF #HamRadio ops and #AMDX folks: small chance for #Aurora propagation today. Keep your eyes on the K index and Bz dir…,VHF/UHF HamRadio ops AMDX folks small chance Aurora propagation today Keep eyes K index Bz dir,0,2,"HamRadio, AMDX, Aurora",aurora
1.65031E+18,2023-04-24 01:33:57+00:00,Twitter for iPhone,"RT @NUFC: Re-live today's big win! 🤩

#NEWTOT highlights are available to watch on NUFC TV now ⤵️",Re-live todays big win NEWTOT highlights available watch NUFC TV,0,86,NEWTOT,NEWTOT
1.65024E+18,2023-04-23 20:29:24+00:00,Twitter for Android,"Pretenders were white hot in 1981 🙌🏽🔥
#forgotten80s",Pretenders white hot forgottens,7,0,forgotten80s,forgotten80s
1.64982E+18,2023-04-22 17:16:24+00:00,Twitter for iPad,RT @LeighCurtis_DT: 1-0. McGoldrick scores from the spot. His 25th of the season. #DCFC #DCFCFans,McGoldrick scores spot His th season DCFC DCFCFans,0,2,"DCFC, DCFCFans",McGoldrick
1.65019E+18,2023-04-23 17:32:51+00:00,Twitter for Android,That #emergencyalert siren would have never woken me up at night. Wasn't loud enough. I have sensitive hearing due… https://t.co/KRfkk54xYz,That emergencyalert siren would never woken night Wasnt loud enough I sensitive hearing due,0,0,emergencyalert,emergencyalert
1.65028E+18,2023-04-23 23:08:54+00:00,IFTTT,New video by Sky Sports: LIVE NBA Playoffs! | Sacramento @ Golden State 🏀 https://t.co/sSHtIjmozg #dinlin… https://t.co/PC70a5hIQT,New video Sky Sports LIVE NBA Playoffs Sacramento Golden State dinlin,0,0,dinlin,Sacramento
1.65024E+18,2023-04-23 20:58:17+00:00,Twitter Web App,Newcastle 6-1 Spurs as Magpies close in on Champions League after St James' rout https://t.co/u478Bp9L89 #nufc #thfc,Newcastle Spurs Magpies close Champions League St James rout nufc thfc,23,0,"nufc, thfc",Spurs
1.65015E+18,2023-04-23 15:04:42+00:00,Twitter Web App,"Newcastle 6-1 Tottenham: Player ratings as first-half blitz downs woeful Spurs
https://t.co/RPUMobESes
#BOUWHU… https://t.co/KaUij37pNP",Newcastle Tottenham Player ratings first-half blitz downs woeful Spurs BOUWHU,0,0,BOUWHU,NEWTOT
1.65024E+18,2023-04-23 21:03:41+00:00,Twitter for Android,"Cambodia is absolutely magnificent, love this. #forgotten80s",Cambodia absolutely magnificent love forgottens,14,0,forgotten80s,forgotten80s
1.65021E+18,2023-04-23 18:42:08+00:00,Twitter for Android,"RT @WhitbyPhotos: Northern Lights Seen From Sandsend Scars.

#darkskies #northernlights #aurora #yorkshire https://t.co/RinYjMGJ9i",Northern Lights Seen From Sandsend Scars darkskies northernlights aurora yorkshire,0,67,"darkskies, northernlights, aurora, yorkshire",NorthernLights
1.6502E+18,2023-04-23 17:57:17+00:00,Twitter for Android,"Well that #emergencyalert was a disappointment, 3 phones in the house and not one got the message, I guess I can go… https://t.co/X6MUUwa5Qk",Well emergencyalert disappointment phones house one got message I guess I go,4,0,emergencyalert,emergencyalert
1.65028E+18,2023-04-23 23:38:21+00:00,Twitter for iPhone,RT @BexarCOSW: Highly recommend to keep your most valuable electronics on surge protectors today and tonight as a precaution #spaceweather…,Highly recommend keep valuable electronics surge protectors today tonight precaution spaceweather,0,8,spaceweather,aurora
1.65025E+18,2023-04-23 21:11:16+00:00,Twitter for iPhone,"RT @SpringfieldWMP: #Sparkhill For everyone celebrating St George’s Day, Hope you have a wonderful day, stay safe☺️ #StGeorgesDay https://t…",Sparkhill For everyone celebrating St Georges Day Hope wonderful day stay safe StGeorgesDay,0,0,"Sparkhill, StGeorgesDay",St George
1.65027E+18,2023-04-23 23:04:11+00:00,Twitter for Android,RT @wattspanesar: Me looking through the #emergencyalert hashtag for entertainment https://t.co/uKreQRMvzG,Me looking emergencyalert hashtag entertainment,0,5,emergencyalert,emergencyalert
1.65015E+18,2023-04-23 14:56:56+00:00,Twitter for Android,"Just lush. 😍🤌🏻💫

#NUFC #NEWTOT https://t.co/GWP0ThXYuN",Just lush NUFC NEWTOT,4,0,"NUFC, NEWTOT",NEWTOT
1.65024E+18,2023-04-23 20:55:20+00:00,Twitter for Android,This first hour has totally flown by! Brilliant stuff! #DerrenBrown #Showman #DerrenBrownShowman,This first hour totally flown Brilliant stuff DerrenBrown Showman DerrenBrownShowman,1,0,"DerrenBrown, Showman, DerrenBrownShowman",Showman
1.6503E+18,2023-04-24 00:37:18+00:00,Twitter for iPhone,"RT @OfficialFPL: So, who went big on @NUFC players for Gameweek 32? 😅

#FPL #NEWTOT https://t.co/4quuJK8aKN",So went big players Gameweek FPL NEWTOT,0,48,"FPL, NEWTOT",NEWTOT
1.65021E+18,2023-04-23 18:46:06+00:00,Twitter for iPhone,"So if there is any kind of emergency someone better let me know pls, as I’m not important enough that I get an alert 

#emergencyalert",So kind emergency someone better let know pls Im important enough I get alert emergencyalert,2,0,emergencyalert,emergencyalert
1.65022E+18,2023-04-23 19:46:50+00:00,Twitter Web App,"I went to a Derren Brown show once and I don't know 🎵🎶WE ARE THE CHAMPIONS🎶🎵 what the fuss is all about.
#DerrenBrown #Showman",I went Derren Brown show I dont know WE ARE THE CHAMPIONS fuss DerrenBrown Showman,0,0,"DerrenBrown, Showman",Showman
1.65021E+18,2023-04-23 18:52:17+00:00,Twitter Web App,RT @cartoonsidrew: As #emergencyalert hour draws near here’s another #cartoon from the reject pile https://t.co/v599MuZTls,As emergencyalert hour draws near heres another cartoon reject pile,0,4,"emergencyalert, cartoon",emergencyalert
1.65026E+18,2023-04-23 21:58:12+00:00,Twitter for iPhone,First time I’ve seen that. And it was fucking outstanding. #Showman #DerrenBrown,First time Ive seen And fucking outstanding Showman DerrenBrown,1,0,"Showman, DerrenBrown",Showman
1.65025E+18,2023-04-23 21:46:49+00:00,Twitter for Android,We didn't get the #emergencyalert today. Probably because we were in an old antiques barn deep in the Perthshire co… https://t.co/kiPFkwNO82,We didnt get emergencyalert today Probably old antiques barn deep Perthshire co,1,0,emergencyalert,emergencyalert
1.65026E+18,2023-04-23 21:55:58+00:00,Twitter for iPhone,Never heard this before. It’s rather lovely.  #forgotten80s,Never heard Its rather lovely forgottens,2,0,forgotten80s,forgotten80s
1.65017E+18,2023-04-23 16:13:07+00:00,Twitter for iPhone,"Tell me I was wrong LOL 🔮😎
#Spurs #SoSpursy #NEWTOT https://t.co/2wq3aMA4Mh",Tell I wrong LOL Spurs SoSpursy NEWTOT,0,0,"Spurs, SoSpursy, NEWTOT",NEWTOT
1.65015E+18,2023-04-23 14:54:27+00:00,Twitter for iPhone,Let's see the team photo #NEWTOT #NUFC,Lets see team photo NEWTOT NUFC,0,0,"NEWTOT, NUFC",NEWTOT
1.65015E+18,2023-04-23 15:03:19+00:00,Twitter Web App,"📺Live Stream

Barcelona vs Atletico Madrid

🔗Live Link🎥▶️https://t.co/rNJUo4wYv2

#NEWTOT #BOUWHU #BarçaAtleti
cC",Live Stream Barcelona vs Atletico Madrid Live Link NEWTOT BOUWHU BaraAtleti cC,0,0,"NEWTOT, BOUWHU, BarçaAtleti",NEWTOT
1.6472E+18,2023-04-15 11:40:10+00:00,Twitter for Android,"RT @BrendanCole: #Strictly Launch Show aired this evening. With the buzz &amp; excitement of the new series, I launch my 2020 tour! My final bi…",Strictly Launch Show aired evening With buzz amp excitement new series I launch tour My final bi,0,33,Strictly,Showman
1.65025E+18,2023-04-23 21:22:19+00:00,Twitter Web App,"Surely some people would pick red 🎈

 #Showman",Surely people would pick red Showman,1,0,Showman,Showman
1.65026E+18,2023-04-23 21:53:58+00:00,Twitter for iPhone,"RT @_laurajones0: Lucinda and Oscar are already so iconic as characters, this is how you do a drama, this is lod level 👏🏼 #Malpractice",Lucinda Oscar already iconic characters drama lod level Malpractice,0,1,Malpractice,Malpractice
1.65019E+18,2023-04-23 17:40:00+00:00,Twitter for Android,"Was worried about the #emergencyalert going off at work.  For me at least, it was pretty quiet and also 30 seconds… https://t.co/TJHoCDgtvD",Was worried emergencyalert going work For least pretty quiet also seconds,2,0,emergencyalert,emergencyalert
1.64725E+18,2023-04-15 14:41:46+00:00,Twitter for Android,"RT @dcfcofficial: 33' #BristolRovers ⛽️ 0-1 #DCFC 🐏

A whisker away from a second!

Cashin meets Hourihane's in-swinging corner but his hea…",BristolRovers DCFC A whisker away second Cashin meets Hourihanes in-swinging corner hea,0,2,"BristolRovers, DCFC",Hourihane
1.65027E+18,2023-04-23 22:47:08+00:00,Twitter for iPhone,RT @laurenmiller30: Loved @DerrenBrown #Showman,Loved Showman,0,1,Showman,Showman
1.65025E+18,2023-04-23 21:43:03+00:00,Twitter for Android,"@GrahamDJohns Four Tops - Walk Away Renee 
And when I see the sign that points one way...

#forgotten80s",Four Tops Walk Away Renee And I see sign points one way ... forgottens,2,0,forgotten80s,forgotten80s
