id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1650596529923665920,2023-04-24 20:24:13+00:00,Twitter for iPhone,"Tucker out at #FoxNews, Rodgers out of #GreenBay… https://t.co/OjAlMwJD5y",Tucker Rodgers,0,0,"FoxNews, GreenBay",Tucker
1650592405505323008,2023-04-24 20:07:50+00:00,Twitter Web App,"@JaneotN Great one! #TuckerFired 
More likely, going to NewsMax.",Great one More likely going NewsMax,0,0,TuckerFired,Newsmax
1650606591408742428,2023-04-24 21:04:12+00:00,Twitter for Android,"FOX News Media, Tucker Carlson part ways.

@FoxNews I'm officially done with you!!  Bye!  #TuckerCarlson

https://t.co/nVJEjFJeak",FOX News Media Tucker Carlson part ways Im officially done Bye //,0,0,TuckerCarlson,Done with Fox
1650606935031332864,2023-04-24 21:05:34+00:00,Twitter for Android,"When he

@BTS_twt #방탄소년단정국 #Jungkook #BTS #정국 #방탄소년단~♡
https://t.co/9JdJX9naVe",When,0,0,"방탄소년단정국, Jungkook, BTS, 정국, 방탄소년단",jungkook
1650561771264958480,2023-04-24 18:06:06+00:00,Twitter for iPhone,"Before we get too excited re #TuckerCarlson, don’t forget the ousting of Bill O’Reilly, which we celebrated until t… https://t.co/GzcfvFTATF",Before get excited dont forget ousting Bill OReilly celebrated,80,1,TuckerCarlson,Bill O'Reilly
1650600256361340940,2023-04-24 20:39:02+00:00,Twitter for Android,"RT @PatriotParents1: @CNN got rid of the biggest #LyingLiberal @donlemon…

And @FoxNews got rid of the biggest #TruthTeller @TuckerCarlson……",got rid biggest got rid biggest,0,68,"LyingLiberal, TruthTeller",Fox News
1650601644118122512,2023-04-24 20:44:33+00:00,Twitter for Android,"#BlackLivesMatter #MSNBC #CNN #FoxNews
Listen to Jesus Christ is Satan.aac by Kepp Cass on #SoundCloud
https://t.co/0563TxDIeg",Jesus Christ Satan.aac Kepp Cass //,0,0,"BlackLivesMatter, MSNBC, CNN, FoxNews, SoundCloud",MSNBC
1650603965413728284,2023-04-24 20:53:46+00:00,Twitter for Android,"Fox News is dead. Paul Ryan has finished it off.
@FoxNews
@TuckerCarlson
#worstbusinessmoveever https://t.co/21zj9U02yl",Fox News dead Paul Ryan finished,0,0,worstbusinessmoveever,Paul Ryan
1650608300529000450,2023-04-24 21:11:00+00:00,Twitter for Android,RT @Worldsource24: 🚨#BREAKING: Fox Corp. Chairman Rupert Murdoch personally decided to fire Tucker Carlson,Fox Corp. Chairman Rupert Murdoch personally decided fire Tucker Carlson,0,2,BREAKING,Murdoch
1650580924843581442,2023-04-24 19:22:13+00:00,Twitter for iPhone,RT @Nv1020Nv10202: @IgnatiusSmith5 @FoxNews Going to cancel Fox Nation and #donewithfox (except for Gutfeld!). Tucker was silenced just as…,Going cancel Fox Nation except Gutfeld Tucker silenced,0,1,donewithfox,Fox Nation
1650616823770128385,2023-04-24 21:44:52+00:00,Twitter Web App,RT @LTrctrc: All the whining about #TuckerCarlson and that they're done with Fox is giving me life. https://t.co/gKlyufGh44,All whining theyre done Fox giving life,0,19,TuckerCarlson,Done with Fox
1650599869462224897,2023-04-24 20:37:30+00:00,Twitter for iPhone,"RT @joyreaper: I just want to know if Dominion is going to sue any Democrats over comments about voting machines.  
#HackedandAttacked 787.…",I want know Dominion going sue Democrats comments voting machines,0,287,HackedandAttacked,Hannity
1650607810240184320,2023-04-24 21:09:03+00:00,Twitter for Android,"You know it's good when he starts contemplating life and scrunching his forehead sooooo bad... Kekeke 😂

#JUNGKOOK… https://t.co/aP3n3fEBum",You know good starts contemplating life scrunching forehead sooooo bad ... Kekeke,0,0,JUNGKOOK,jungkook
1650600043802677248,2023-04-24 20:38:11+00:00,Twitter for iPad,"Big mistake getting rid of #Tucker 
Bye bye #FoxNews 👎👎👎👎👎

Tucker Carlson Leaves Fox News, Effective Immediately

https://t.co/9ExNh4cGQo",Big mistake getting rid Bye bye Tucker Carlson Leaves Fox News Effective Immediately,2,1,"Tucker, FoxNews",Fox News
1650604588322398234,2023-04-24 20:56:15+00:00,Twitter Web App,"https://t.co/g2GlxP1nko
Jets,Tucker Carlson,#GoPackGo,jungkook,Newsmax,Zach Wilson,Fox Nation,NFC North,#TakeFlight","Carlson ,jungkook Newsmax Zach Wilson Fox Nation NFC North",0,0,"GoPackGo, TakeFlight",Fox Nation
1650598399714926595,2023-04-24 20:31:39+00:00,Twitter for iPad,"RT @unfollowFox: Retweet if you're unfollowing @FoxNews to protest their unconscionable treatment of Bill O'Reilly.

#BillOReilly #maga #FO…",Retweet youre unfollowing protest unconscionable treatment Bill OReilly,0,55,"BillOReilly, maga",Bill O'Reilly
