time,accuracy,precision,recall,f1_score,loss,number of tweets,number of trends
Thu May 18 23:25:44 2023,0.867088608,0.868346211,0.867088608,0.863828923,0.122293845,1580,8
Thu May 18 23:30:06 2023,0.895068206,0.893390712,0.895068206,0.892983806,0.100014448,4763,11
Fri May 19 00:10:36 2023,0.569709127,0.563525651,0.569709127,0.539528001,0.699936509,9966,20
Fri May 19 00:28:40 2023,0.609217661,0.595856125,0.609217661,0.592426364,0.692135632,12906,28
Fri May 19 00:48:19 2023,0.627269929,0.624353983,0.627269929,0.619414092,0.643591404,16245,31
Fri May 19 02:21:39 2023,0.658035034,0.65615496,0.658035034,0.65226227,0.545067847,19691,46
Fri May 19 11:32:09 2023,0.593176972,0.628680082,0.593176972,0.600162009,0.602556109,11723,21
Fri May 19 12:10:18 2023,0.78998779,0.807311039,0.78998779,0.794234629,0.291736871,4092,5
Fri May 19 13:56:10 2023,0.532599119,0.548110862,0.532599119,0.527000219,0.683966041,11349,19
Fri May 19 18:11:13 2023,0.685294118,0.690761937,0.685294118,0.681409823,0.434730262,20398,41
Fri May 19 19:01:37 2023,0.685539216,0.694756475,0.685539216,0.683798367,0.43078357,20398,41
Fri May 19 19:11:43 2023,0.681372549,0.691024591,0.681372549,0.680930412,0.433737904,20398,41
Fri May 19 21:11:02 2023,0.708880715,0.706224041,0.708880715,0.706093491,0.312657952,19028,20
Fri May 19 23:57:46 2023,0.669463381,0.667508419,0.669463381,0.665560389,0.343975365,28601,35
