id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1653093048035995648,2023-05-01 17:44:30+00:00,Twitter Web App,RT @Bolt_RSS: Tony Abbott being allowed to comment against Voice was the ‘right decision’ #auspol https://t.co/DO0929amAa,tony abbott allowed comment voice right decision,0,3,auspol,Tony Abbott
1652574632950759425,2023-04-30 07:24:30+00:00,Twitter for Android,"OMG! AVERILLO!
#NRLDragonsBulldogs",omg averillo,1,0,NRLDragonsBulldogs,nrldragonsbulldogs
1653019207079202816,2023-05-01 12:51:05+00:00,Twitter Web App,"Defence is a joke.
Its hard to believe @AlboMP could make more of a mess of defence than Morrison but he has #AUKUS #4corners",defence joke.its hard believe could make mess defence morrison,0,0,"AUKUS, 4corners",4corners
1651929011550060544,2023-04-28 12:39:02+00:00,Twitter for iPhone,My hat it has #4corners,hat,2,0,4corners,4corners
1652600713623769090,2023-04-30 09:08:08+00:00,Twitter for Android,this is the worst umpiring I've ever seen. maybe we need to have a conversation about bringing back capital punishment? #AFLCrowsPies,worst umpiring ive ever seen maybe need conversation bringing back capital punishment,2,0,AFLCrowsPies,aflcrowspies
1653096671058771969,2023-05-01 17:58:54+00:00,Twitter for iPhone,RT @Stef_Wade: It's Teacher Appreciation Week and I'm celebrating with a #giveaway of 2 copies of EVERY DAY'S A HOLIDAY for you or a teache…,teacher appreciation week im celebrating copies every days holiday teache,0,3,giveaway,May Day
1652576375856037888,2023-04-30 07:31:26+00:00,Twitter for iPhone,Play on? Haha fck off 4 umpires  #AFLCrowsPies,play haha fck umpires,0,0,AFLCrowsPies,aflcrowspies
1652594956043943936,2023-04-30 08:45:15+00:00,Twitter for Android,"Nevermind the 5 days break, I'm sure they had a strategy for that (or should have) + footy is their job, so it's no excuse. #AFLCrowsPies",nevermind days break im sure strategy footy job excuse,1,0,AFLCrowsPies,aflcrowspies
1652923332629757953,2023-05-01 06:30:06+00:00,aflfeeds.com,Team Dillon: Who will join new CEO at HQ? #AFL: AFL chief executive-elect Andrew Dillon will aggressively pursue Br… https://t.co/AJIropoow8,team dillon join new ceo hq afl chief executive-elect andrew dillon aggressively pursue br,0,0,AFL,Andrew Dillon
1653097494375456781,2023-05-01 18:02:10+00:00,Twitter Web App,@SAfmRadio #VIEWPOINT VEXATIOUS  RACIST CALLER MIKE NEWLANDS👺 MUST BE CHOKING ON HIS EVENING COFFEE WHEN SAFRICA CE… https://t.co/Ua2ZnxoyrD,vexatious racist caller mike newlands must choking evening coffee safrica ce,0,0,VIEWPOINT,May Day
1652580402438242304,2023-04-30 07:47:26+00:00,Twitter for Android,"""and they're fuckin marking everything"" 😂 live TV rules
#AFLCrowsPies #GoPies",theyre fuckin marking everything live tv rules,2,0,"AFLCrowsPies, GoPies",aflcrowspies
1652566922805018624,2023-04-30 06:53:52+00:00,Twitter for iPhone,That’s an even better goal from Rankine than last week! #AFLCrowsPies,thats even better goal rankine last week,0,0,AFLCrowsPies,aflcrowspies
1652584180012953600,2023-04-30 08:02:26+00:00,Twitter for iPhone,#NRLDragonsBulldogs    Again I have to ask.  How is Lomax still in 1st grade. Woeful in defence. Slower than most p… https://t.co/2CBPuCi7Hq,ask lomax still st grade woeful defence slower p,1,0,NRLDragonsBulldogs,nrldragonsbulldogs
1652581541367943169,2023-04-30 07:51:57+00:00,Twitter Web App,bulldogs c side &gt; dragons #NRLDragonsBulldogs,bulldogs c side gt dragons,0,0,NRLDragonsBulldogs,nrldragonsbulldogs
