id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1653086176226557974,2023-05-01 17:17:11+00:00,Twitter for iPhone,RT @PatMcAfeeShow: We would like to honor the Boston Bruins season @BostonConnr #PMSLive https://t.co/aD0gXVXqpE,would like honor boston bruins season,0,56,PMSLive,Bruins
1652854431732363265,2023-05-01 01:56:19+00:00,Twitter Web App,Marchand the biggest choke job in NHL history....they're a complete joke.   Good on Marchand and Bergeron....losers  #FLAvsBOS,marchand biggest choke job nhl history .... theyre complete joke good marchand bergeron .... losers,0,0,FLAvsBOS,FLAvsBOS
1652816951746469888,2023-04-30 23:27:23+00:00,Twitter for Android,Someone please light a fire under the #NHLBruins ass! #FLAvsBOS,someone please light fire ass,2,0,"NHLBruins, FLAvsBOS",FLAvsBOS
1652854467811835904,2023-05-01 01:56:28+00:00,Twitter for iPad,"If this is it for Bergeron, what a career he has had. Love or hate his team, no denying how good of a player he has been #FLAvsBOS",bergeron career love hate team denying good player,0,0,FLAvsBOS,FLAvsBOS
1653078693894406156,2023-05-01 16:47:27+00:00,Twitter Web App,"#Leafs Advance, Have Home-Ice Advantage Against Panthers https://t.co/XpDssPPjOo",advance home-ice advantage panthers,0,0,Leafs,Panthers
1653072782820007936,2023-05-01 16:23:58+00:00,Twitter Web App,"RT @TheeDocHolliday: I’m Rizzi and I turned 11 today and got my new football!   I’m a #MAYDAY Puppy ❤️

Can I get 5,001 retweets for 05/01…",im rizzi turned today got new football im puppy get retweets,0,15,MAYDAY,MayDay
1653080526444539904,2023-05-01 16:54:44+00:00,Twitter for iPhone,RT @QualityofCareNL: May 1-7 is #MentalHealthWeek in Canada! Tune in to our webinar on Thursday for a Healthy Discussion about mental healt…,may canada tune webinar thursday healthy discussion mental healt,0,1,MentalHealthWeek,MentalHealthWeek
1653043508440121344,2023-05-01 14:27:39+00:00,Twitter Web App,"On #NationalPhysiciansDay, we want to take a moment to thank all of our outstanding physicians who make a differenc… https://t.co/ASn654pbxK",want take moment thank outstanding physicians make differenc,7,0,NationalPhysiciansDay,NationalPhysiciansDay
1649982721815371777,2023-04-23 03:45:10+00:00,Machineation,"Galaxia Cuticle
#fractal #CGI #digitalabstractart #ArtsBot #flames https://t.co/PsfyjwrAxJ",galaxia cuticle,0,0,"fractal, CGI, digitalabstractart, ArtsBot, flames",Flames
1652853466753036289,2023-05-01 01:52:29+00:00,Twitter for Android,Bruins fans do you wanna talk about it. Golf season time lmfao #FLAvsBOS,bruins fans wan na talk golf season time lmfao,0,0,FLAvsBOS,FLAvsBOS
1653087141033918495,2023-05-01 17:21:01+00:00,Twitter for Android,"Financial strain &amp; living in  impoverished conditions can affect mental health negatively. 

#MayDay
#LabourDay… https://t.co/hyKnWtaxoP",financial strain amp living impoverished conditions affect mental health negatively,0,0,"MayDay, LabourDay",MayDay
1652851373531185152,2023-05-01 01:44:10+00:00,Twitter for iPad,Swayman bailing out the B’s 3 times in the first 3 minutes of OT.   #FLAvsBOS,swayman bailing bs times first minutes ot,5,0,FLAvsBOS,FLAvsBOS
1653089684355006479,2023-05-01 17:31:08+00:00,Twitter for Android,"https://t.co/GxNsAkQWmi

#NBA scores
#GamblingTwitter 
#NBAPlayoffs 

#MayDay",scores,0,0,"NBA, GamblingTwitter, NBAPlayoffs, MayDay",MayDay
1653050121456697344,2023-05-01 14:53:55+00:00,Twitter Web App,"Mental health awareness should be prioritized all year round, not just during #MentalHealthWeek.

TEMU code for cod… https://t.co/rPvaEKUi83",mental health awareness prioritized year round .temu code cod,0,0,MentalHealthWeek,MentalHealthWeek
1653041386088808448,2023-05-01 14:19:13+00:00,Twitter Web App,"Today is #DoctorsDay in Canada. We want to say a big thank you to all the doctors in our hospitals, clinics, long-t… https://t.co/X3OeQdYcsW",today canada want say big thank doctors hospitals clinics long-t,0,0,DoctorsDay,NationalPhysiciansDay
1653089776030064640,2023-05-01 17:31:30+00:00,Twitter for Android,"RT @BlackDogVideo: And a blessed May Day to each and everyone one of you....

#MayDay https://t.co/LUnmjZurd4",blessed may day everyone one ....,0,1,MayDay,MayDay
1651245026523992065,2023-04-26 15:21:07+00:00,raw-chili,"Random Milan Lucic Cameo @ Wranglers Practice Today 🧐 
 
https://t.co/H4LwR1cSHN
 
#Alberta #Calgary #CalgaryFlames… https://t.co/D7zq1FX0HN",random milan lucic cameo wranglers practice today,0,0,"Alberta, Calgary, CalgaryFlames",Flames
1651770471896215552,2023-04-28 02:09:03+00:00,Twitter for Android,"Big things coming this off-season 🍿🍿

#Flames #sutter #nhl

https://t.co/knJUOgDylE",big things coming off-season //,0,0,"Flames, sutter, nhl",Sutter
1653076375786471433,2023-05-01 16:38:15+00:00,Twitter for iPhone,@ObourE_13 #MayDay Happy worker’s day 🌴NUGS in focus https://t.co/mkHPCkPVex,happy workers day nugs focus,2,0,MayDay,MayDay
1651074876327985153,2023-04-26 04:05:00+00:00,Twitter for Android,RT @UncleRee1: I bet the #Flames Ownership Group is worth north of $4 Billion. Add in the franchise value of the Flames and it is probably…,bet ownership group worth north billion add franchise value flames probably,0,1,Flames,Flames
1652835052898713601,2023-05-01 00:39:19+00:00,Twitter for iPhone,Nice goal by the f’n refs!  #FLAvsBOS,nice goal fn refs,0,0,FLAvsBOS,FLAvsBOS
1652130895334354944,2023-04-29 02:01:15+00:00,Twitter Web App,This Matthew Tkachuk guy is pretty good #Flames should try to trade for him,matthew tkachuk guy pretty good try trade,5,0,Flames,Flames
1652829207074942980,2023-05-01 00:16:05+00:00,Twitter for Android,Pasta throws his head back like a Kennedy and draws a bspp...#FLAvsBOS,pasta throws head back like kennedy draws bspp ...,1,0,FLAvsBOS,FLAvsBOS
1650945799080103936,2023-04-25 19:32:06+00:00,Twitter for Android,@CamiKepkeGlobal @cmcalgary Hopefully they're announcing a #Flames arena deal because this is getting ridiculous now,hopefully theyre announcing arena deal getting ridiculous,1,0,Flames,Flames
1650977635126886400,2023-04-25 21:38:36+00:00,Twitter Web App,Eh hey!! New Arena and community infrastructure!  #Flames,eh hey new arena community infrastructure,1,0,Flames,Flames
1652853683061702657,2023-05-01 01:53:21+00:00,Twitter for iPhone,"LoL Bruins. 135pts, 12 losses, and an early exit. Smell ya later.  #FLAvsBOS #StanleyCupPlayoffs",lol bruins pts losses early exit smell ya later,0,0,"FLAvsBOS, StanleyCupPlayoffs",FLAvsBOS
1652850117911932929,2023-05-01 01:39:11+00:00,Twitter for iPhone,CLEAR! THE! ZONE!!!! #NHLBruins #FLAvsBOS #StanleyCupPlayoffs #Game6,clear zone,0,0,"NHLBruins, FLAvsBOS, StanleyCupPlayoffs, Game6",FLAvsBOS
1652963060267597825,2023-05-01 09:07:58+00:00,Twitter for iPhone,READ: I thought I met #SnoopDogg a couple of weeks ago… but the truth was even more fascinating - meet Snoop’s doub… https://t.co/qIlt0kekLR,read thought met couple weeks ago truth even fascinating meet snoops doub,0,0,SnoopDogg,Snoop
1652836710470807554,2023-05-01 00:45:54+00:00,Twitter for iPhone,The bruins take the outright lead!!!!! Only 15min to go!!! #FLAvsBOS,bruins take outright lead min go,0,0,FLAvsBOS,FLAvsBOS
1653083881640280076,2023-05-01 17:08:04+00:00,Twitter for iPhone,"RT @Acheampong_SK: Ayekoo to all workers in our beautiful region.

#mayday #labourday #HappyMayDay #HappyWorkersDay #LeadershipOfService ht…",ayekoo workers beautiful region ht,0,7,"mayday, labourday, HappyMayDay, HappyWorkersDay, LeadershipOfService",MayDay
1653013994083368962,2023-05-01 12:30:22+00:00,Twitter Web App,"RT @DefDepression: May is #mentalhealthawarenessmonth!

Did you know 56% of struggling Canadians are not getting the mental health help the…",may know struggling canadians getting mental health help,0,1,mentalhealthawarenessmonth,MentalHealthWeek
1651045823021715456,2023-04-26 02:09:33+00:00,California City News Job,"New Job: Public Works Director, City of Sutter Creek, California #localgovjobs - https://t.co/tzuHQGbetV",new job public works director city sutter creek california,0,0,localgovjobs,Sutter
1652780678151282688,2023-04-30 21:03:15+00:00,the detour updater,#nowplaying Snoop Dogg - Sweat (clean),snoop dogg sweat clean,0,0,nowplaying,Snoop
1653084902848339968,2023-05-01 17:12:08+00:00,Twitter for iPhone,@Jayde8700 Not very libertarian of them! #Leafs #Panthers #NHL,libertarian,0,0,"Leafs, Panthers, NHL",Panthers
1652086907772489729,2023-04-28 23:06:27+00:00,Twitter Web App,"RT @SutterHealth: Patients are at the center of everything we do. This #PXWeek, we're celebrating the people &amp; teams who make lasting impac…",patients center everything celebrating people amp teams make lasting impac,0,1,PXWeek,Sutter
1653078086475300878,2023-05-01 16:45:03+00:00,Twitter Web App,"RT @lillya1960: #Mayday reads to keep you turning the pages!
Put your feet up and indulge in a #Captivating #Historical #heart-warmer!
#Vic…",reads keep turning pages put feet indulge -warmer,0,3,"Mayday, Captivating, Historical, heart",MayDay
1653076164733272066,2023-05-01 16:37:24+00:00,Twitter for iPhone,"RT @Rachel_Hoopsick: Today is #MayDay, aka  #InternationalWorkersDay — an excellent time to express solidarity with the labor organizations…",today aka excellent time express solidarity labor organizations,0,2,"MayDay, InternationalWorkersDay",MayDay
1652823661794000901,2023-04-30 23:54:03+00:00,Twitter Web App,"boston scores! 2-1. we have a game.
#FLAvsBOS",boston scores game,0,0,FLAvsBOS,FLAvsBOS
1652853184287715329,2023-05-01 01:51:22+00:00,Twitter for iPhone,Bruins can suck it!  #FLAvsBOS,bruins suck,0,0,FLAvsBOS,FLAvsBOS
1653066291559772161,2023-05-01 15:58:11+00:00,Twitter for iPhone,"RT @nickmelanson_: Turnovers and giveaways were the #NHLBruins downfall. 

In games that the Bruins had less giveaways than the Panthers, t…",turnovers giveaways downfall games bruins less giveaways panthers,0,1,NHLBruins,Bruins
1653076114108039180,2023-05-01 16:37:12+00:00,Tweet Reader on Mobile,"RT @PR_NHL: David Krejci got the @NHLBruins on the board with his 11th career point in a #Game7, tying Patrice Bergeron for the most in fra…",david krejci got board th career point tying patrice bergeron fra,0,9,Game7,Bergeron
1653080413051682816,2023-05-01 16:54:17+00:00,Twitter Web App,"Incoming Freshman Qb 🏆 Jasper Stewart 🏟️

STMCHS Home Of The #PANTHERS ❤️🤍🖤 https://t.co/bKs9DXkKSN",incoming freshman qb jasper stewart stmchs home,1,1,PANTHERS,Panthers
1652957613707886594,2023-05-01 08:46:20+00:00,Twitter for Android,#PrizePicksMillions Bruins Barry #SuccessionHBO #GoAvsGo Shiv #LESSERAFIM_UNFORGIVEN #LabourDay #MayDay JPMorgan Ch… https://t.co/u89K0Dbdhy,bruins barry shiv jpmorgan ch,0,0,"PrizePicksMillions, SuccessionHBO, GoAvsGo, LESSERAFIM_UNFORGIVEN, LabourDay, MayDay",Bergeron
1653080707869335552,2023-05-01 16:55:28+00:00,TweetDeck,"#MayDay is a day to celebrate all that unionized workers have achieved together. 

We honour the struggles of gener… https://t.co/JbDP85Y6a3",day celebrate unionized workers achieved together honour struggles gener,1,0,MayDay,MayDay
1652913050062823427,2023-05-01 05:49:15+00:00,Twitter Web App,Iginla's first NHL job needs to be with #Flames. https://t.co/pzOsAuN1N0,iginlas first nhl job needs,10,0,Flames,Flames
1652814537845010434,2023-04-30 23:17:48+00:00,Twitter Web App,This is some game goin' on between #FLAvsBOS .,game goin,13,0,FLAvsBOS,FLAvsBOS
1653088972682280962,2023-05-01 17:28:18+00:00,Twitter for Android,"RT @folk_horror: Photos by Morgan Silk of some of the celebrants at the 2013 Jack in the Green #MayDay #Beltane celebrations in #Hastings
h…",photos morgan silk celebrants jack green celebrations,0,62,"MayDay, Beltane, Hastings",MayDay
1653076495718395904,2023-05-01 16:38:43+00:00,Twitter for iPhone,RT @CoachWyatt_: Where are my future panthers at??#WeNotMe https://t.co/dPIHdzcPIa,future panthers,0,11,WeNotMe,Panthers
1652921527887863810,2023-05-01 06:22:56+00:00,Twitter Web App,"@MatchsticksCGY The #Flames have been there twice as many times as the #leafs in the same time frame, so...",twice many times time frame ...,0,0,"Flames, leafs",Flames
1651403892507254786,2023-04-27 01:52:24+00:00,Twitter for iPhone,Tkachuk has an oral fixation issue.  #FLAvsBOS,tkachuk oral fixation issue,0,0,FLAvsBOS,FLAvsBOS
1653086666867851293,2023-05-01 17:19:08+00:00,Twitter for iPhone,"What makes you strong? 

Every lunch this week, #OSDSS students are invited to add to the mural near the cafeteria.… https://t.co/KW8EXTezJ6",makes strong every lunch week students invited add mural near cafeteria,0,0,OSDSS,MentalHealthWeek
1653089317697339403,2023-05-01 17:29:40+00:00,Twitter for iPhone,"RT @GMB_union: On #MayDay let's remember what our trade union movement has delivered:

😷 Sick pay
⏰ The 8hr day 
🏖 Annual leave 
🌤 The week…",lets remember trade union movement delivered sick pay hr day annual leave week,0,244,MayDay,MayDay
1652828954804486144,2023-05-01 00:15:05+00:00,Twitter for Android,Give that man an Oscar! #FLAvsBOS,give man oscar,0,0,FLAvsBOS,FLAvsBOS
1650617578858110976,2023-04-24 21:47:52+00:00,Twitter Web App,"🚨 #Flames Talk guest alert!! 🚨

He just signed a two-year extension at $825,000 and Walker Duehr will join us at 4:… https://t.co/W2D3NoyiG3",talk guest alert signed two-year extension walker duehr join us,5,1,Flames,Flames
1650622055669219329,2023-04-24 22:05:39+00:00,Jetpack.com,"The #Flames are back to work for the offseason with massive items to tend to. Even without a new GM in place, the f… https://t.co/C0MyhnMwxw",back work offseason massive items tend even without new gm place f,11,1,Flames,Flames
1652774203811086339,2023-04-30 20:37:31+00:00,Twitter for iPhone,"Like if your crypto wallet is as high as Snoop 🙏🏻

#SnoopDogg

https://t.co/IEphFDG5ls",like crypto wallet high snoop //,0,0,SnoopDogg,Snoop
1652874868164009984,2023-05-01 03:17:32+00:00,Twitter for iPhone,@NESN #savedyouclick “The only thing I can look at right now and say I would have done different is start of Game 5… https://t.co/Zx99eMXdrH,thing look right say would done different start game,0,0,savedyouclick,Bergeron
1653071600059666433,2023-05-01 16:19:16+00:00,Twitter Web App,Happy #MayDay! Today we honor and remember the historical struggles and gains made by workers and the labor movemen… https://t.co/xScDtQNqDZ,happy today honor remember historical struggles gains made workers labor movemen,0,0,MayDay,MayDay
1651988428383191040,2023-04-28 16:35:08+00:00,CORE ListingMachine,I would love to show you my #listing at 708 Sutter St #YubaCity #CA  #realestate https://t.co/rb01Bj77FK https://t.co/X6ahgGB3QW,would love show sutter st,0,0,"listing, YubaCity, CA, realestate",Sutter
