id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1653124773915033602,2023-05-01 19:50:34+00:00,Twitter for iPhone,"RT @kxtlakit: THE TRIPLE DIPPERS IN THEIR PRIME 🗣️🗣️

#splatbands #Splatoon3 #Cside https://t.co/EEZLYqraXI",triple dippers prime,0,11,"splatbands, Splatoon3, Cside",Prime
1650593569231478803,2023-04-24 20:12:28+00:00,Twitter for Android,RT @TheGreatLerato: Nice guys always finish last 😭💔 #ReaTsotellaMonday,nice guys always finish last,0,4,ReaTsotellaMonday,ReaTsotellaMonday
1653060596504428546,2023-05-01 15:35:33+00:00,Twitter for Android,RT @Nokukha56931983: @KonkheC I am feeling so lucky today 💃🏽🤞🏽 #konkhekuhambakahleClothing,feeling lucky today,0,1,konkhekuhambakahleClothing,konkhekuhambakahleClothing
1651898841547808770,2023-04-28 10:39:09+00:00,Twitter for iPhone,@Intemnandi @1MagicTV They always make sure we’re entertained. #1802LoveDefiesTime,always make sure entertained,0,0,1802LoveDefiesTime,1802LoveDefiesTime
1653070063841300486,2023-05-01 16:13:10+00:00,Twitter for iPhone,"Up the Workers
Up Palestine
Up the Republic
#mayday #workersday 
@Left_EU https://t.co/ECtOiyT3Bt",workersup palestineup republic,10,1,"mayday, workersday",WorkersDay
1653121371080097792,2023-05-01 19:37:03+00:00,Twitter for Android,"RT @mbali_ndlela: Makamu saw y'all's tweets last week, tonight he looks sharp. #ReaTsotellaMonday",makamu saw yalls tweets last week tonight looks sharp,0,6,ReaTsotellaMonday,ReaTsotellaMonday
1652619012277248000,2023-04-30 10:20:51+00:00,Twitter for iPhone,@_Thembalihle_ @Likers_2Do And tomorrow it’s finally happening #1802LoveDefiesTime,tomorrow finally happening,0,0,1802LoveDefiesTime,1802LoveDefiesTime
1653064982383214602,2023-05-01 15:52:58+00:00,Twitter for Android,"Happy works day to all workers out there.
#WorkersDay
#Workers 
#icegraphics https://t.co/33C6TyqooH",happy works day workers,1,0,"WorkersDay, Workers, icegraphics",WorkersDay
1653134901959335958,2023-05-01 20:30:49+00:00,Twitter for Android,RT @Ancisacurse: Stage 6 #PutSouthAfricansFirst  khune #OperationDudula Minister of trouble,stage khune minister trouble,0,3,"PutSouthAfricansFirst, OperationDudula",Khune
1653112366496636933,2023-05-01 19:01:16+00:00,Twitter for iPhone,RT @__joyh: What a babe 😍 #1802LoveDefiesTime,babe,0,1,1802LoveDefiesTime,1802LoveDefiesTime
1653111758121213952,2023-05-01 18:58:51+00:00,Twitter for iPhone,Omg what a cute moment #1802LoveDefiesTime https://t.co/yeiNlAC9es,omg cute moment,0,0,1802LoveDefiesTime,1802LoveDefiesTime
1652981492400762881,2023-05-01 10:21:13+00:00,Twitter for Android,@Aubrey_Senyolo Will use it to buy electricity #DrOkitoWedi #CrtveaDevelopment,use buy electricity,0,0,"DrOkitoWedi, CrtveaDevelopment",drokitowedi
1653089119638110213,2023-05-01 17:28:53+00:00,Twitter for Android,"RT @SK_ENTERPRISE2: Those working in Nigeria are complaining, I wonder what those (graduates) that are jobless will do #WorkersDay #Workers…",working nigeria complaining wonder graduates jobless,0,3,WorkersDay,WorkersDay
1653130010578788370,2023-05-01 20:11:22+00:00,Twitter for iPhone,"RT @ENortonHistory: #OTD in 1539 death of Isabella of Portugal, wife of Holy Roman Emperor Charles V &amp; mother of Philip II of Spain. Served…",death isabella portugal wife holy roman emperor charles v amp mother philip ii spain served,0,16,OTD,Portugal
1653108447330590745,2023-05-01 18:45:41+00:00,Twitter for Android,@1MagicTV Today is finally the day #1802LoveDefiesTime,today finally day,0,0,1802LoveDefiesTime,1802LoveDefiesTime
1653116680950751232,2023-05-01 19:18:24+00:00,Twitter for iPhone,RT @thyvixen_tumii: that cave is going to transport her into another time 💀 #1802LoveDefiesTime,cave going transport another time,0,1,1802LoveDefiesTime,1802LoveDefiesTime
1653115554222276608,2023-05-01 19:13:56+00:00,Twitter for iPhone,*Don’t Worry. We got Pasties at Home #sexy #waifu #Monday #WorkersDay  #LabourDay #Anime #youtubechannel https://t.co/EVMJ75hoLN,dont worry got pasties home,0,0,"sexy, waifu, Monday, WorkersDay, LabourDay, Anime, youtubechannel",WorkersDay
1652626920561864705,2023-04-30 10:52:16+00:00,Twitter for iPhone,@1MagicTV #1802LoveDefiesTime will be one to watch,one watch,0,0,1802LoveDefiesTime,1802LoveDefiesTime
1653063130405019648,2023-05-01 15:45:37+00:00,Twitter for Android,"RT @Giveawaypage_SA: R20 OTT vouchers to 5 followers.

✅ Retweet this tweet. 

✅ Comment #DrOkitoWedi

Dr Okito Wedi grew up with a Paediat…",r ott vouchers followers retweet tweet comment okito wedi grew paediat,0,16,DrOkitoWedi,drokitowedi
1653120758107734017,2023-05-01 19:34:36+00:00,Twitter for Android,RT @Audzamash: #ReatsotellaMonday we're live with Bishop!!!❗️,live bishop,0,1,ReatsotellaMonday,ReaTsotellaMonday
1652960552405049345,2023-05-01 08:58:00+00:00,Twitter for iPhone,RT @Mthiya_sa: Y’all meet the amazing #crtvedevelopment ceo #DrOkitoWedi https://t.co/4OKjEBnR54,yall meet amazing ceo,0,9,"crtvedevelopment, DrOkitoWedi",drokitowedi
1653123437387214848,2023-05-01 19:45:15+00:00,Twitter for iPhone,"RT @NBCSports: All in their prime.

Who are you taking? #NFL https://t.co/YMGeeNoow5",prime.who taking,0,25,NFL,Prime
1653107949428957200,2023-05-01 18:43:43+00:00,Twitter for iPhone,@TheGreatLerato Like ever!! The wives are always ready to fight each other #1802LoveDefiesTime,like ever wives always ready fight,0,0,1802LoveDefiesTime,1802LoveDefiesTime
1653011370407862273,2023-05-01 12:19:56+00:00,Twitter for Android,@Aubrey_Senyolo I will Definitely use it To buy myself some lunch and enjoy this Holiday. 😊❤️🍕🍕😋 #DrOkitoWedi… https://t.co/YclKfvEa2Q,definitely use buy lunch enjoy holiday,0,0,DrOkitoWedi,drokitowedi
1653121971121528832,2023-05-01 19:39:26+00:00,Twitter for iPhone,RT @Thee_Cherri: I’m just always in disbelief of how people resort to #ReatsotellaMonday to solve their problems,im always disbelief people resort solve problems,0,2,ReatsotellaMonday,ReaTsotellaMonday
1653112676372078592,2023-05-01 19:02:30+00:00,Twitter for iPhone,"RT @melching91: Coco’s call might make us travel back 👀👀👀👀

Athi keeps talking is she going to reveal something?  #1802LoveDefiesTime",cocos call might make us travel back athi keeps talking going reveal something,0,1,1802LoveDefiesTime,1802LoveDefiesTime
1653105055401140227,2023-05-01 18:32:13+00:00,Twitter for Android,"RT @Choko_Music: 🚨🚨: Catch Me Live @Powerfm987  05/05/2023 FROM 04:45 AM  🎹🎼🎧🎸
.
Prime I #WorkersDay I #SkeemSaam I Stage 6 I Swallows I I…",catch live // .prime stage swallows,0,1,"WorkersDay, SkeemSaam",WorkersDay
1653054994923372545,2023-05-01 15:13:17+00:00,Twitter for Android,"@OfficialPSL @KaizerChiefs @Moroka_Swallows Disappointed
#2094
#Amakhosi4Life https://t.co/kuy6rdI1h2",disappointed,0,0,Amakhosi4Life,Swallows
