id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1653113081525080064,2023-05-01 19:04:06+00:00,Twitter for Android,"RT @H4SUN_: 010523 THE DREAM SHOW 2 in SINGAPORE 

MARK: AYO SINGAPORE MAKE SOME NOISE

#THEDREAMSHOW2_in_SINGAPORE https://t.co/LDnGDOjQbx",dream show singapore mark ayo singapore make noise,0,5,THEDREAMSHOW2_in_SINGAPORE,THEDREAMSHOW2_in_SINGAPORE
1653101445674303488,2023-05-01 18:17:52+00:00,Twitter for iPhone,"🫨🫣😮‍💨 okay jeno 

#TDS2inSG #NCTDREAMinSG
#THEDREAMSHOW2_in_SINGAPORE https://t.co/oVYayulF6k",okay jeno,0,0,"TDS2inSG, NCTDREAMinSG, THEDREAMSHOW2_in_SINGAPORE",THEDREAMSHOW2_in_SINGAPORE
1653050069237764096,2023-05-01 14:53:43+00:00,Twitter Web App,"The irony of #Spursy strikes again, this time in the form of Richarlison's unfortunate luck.
Temu code for code!
/120667419/",irony strikes time form richarlisons unfortunate luck.temu code code //,0,0,Spursy,Richarlison
1653076427707760642,2023-05-01 16:38:27+00:00,Liverpool Rooter,"‘Self-destruct’ – Tottenham player criticised for role in Liverpool defeat
#LFC
https://t.co/jldCkN47ru",self-destruct tottenham player criticised role liverpool defeat//,0,0,LFC,Tottenham
1653065347908485121,2023-05-01 15:54:26+00:00,Liverpool Rooter,"Gary Neville names four Liverpool players who have 'got to do better' after Tottenham win
#LFC
https://t.co/ChAV4S7XuU",gary neville names four liverpool players got better tottenham win//,0,0,LFC,Tottenham
1653101613039636481,2023-05-01 18:18:32+00:00,Twitter for iPhone,"RT @hitthemark0802: #jisung Dreaming
#THEDREAMSHOW2_in_SINGAPORE https://t.co/wPsXOUILcn",dreaming,0,30,"jisung, THEDREAMSHOW2_in_SINGAPORE",THEDREAMSHOW2_in_SINGAPORE
1653111144725516288,2023-05-01 18:56:24+00:00,Twitter for Android,"RT @renjunthelight: renjun and jaemin for puzzle piece 
#THEDREAMSHOW2_in_SINGAPORE https://t.co/Q2HzMc0NEa",renjun jaemin puzzle piece,0,160,THEDREAMSHOW2_in_SINGAPORE,THEDREAMSHOW2_in_SINGAPORE
1653062146748456960,2023-05-01 15:41:42+00:00,Twitter for Android,"RT @Chelsea_FL: Chelsea should bring him back 👀🔵 #CFC 
https://t.co/4qUcweeuIP",chelsea bring back,0,9,CFC,Tottenham
1653103033683939329,2023-05-01 18:24:11+00:00,Twitter for iPhone,"RT @bonusbns_: Ridin!!!!

#NCTDREAM #JISUNG #지성 
#THEDREAMSHOW2 #SINGAPORE
#THEDREAMSHOW2_in_SINGAPORE
#NCTDREAM_THEDREAMSHOW2_in_SINGAPORE…",ridin,0,107,"NCTDREAM, JISUNG, 지성, THEDREAMSHOW2, SINGAPORE, THEDREAMSHOW2_in_SINGAPORE, NCTDREAM_THEDREAMSHOW2_in_SINGAPORE",THEDREAMSHOW2_in_SINGAPORE
1653115320180310016,2023-05-01 19:13:00+00:00,Twitter for iPhone,"RT @nctbitchh: #JENO lockacreen/wallpaper ig live

#제노 #NCTDREAM https://t.co/5DinRIKIOX",lockacreen/wallpaper ig live,0,550,"JENO, 제노, NCTDREAM",jeno
