id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1651964726610370560,2023-04-28 15:00:57+00:00,Twitter for Android,"RT @ScuderiaFerrari: P1 for Charles and P4 for Carlos in #Quali 🔥 What an exciting day for the team 😍

Grid set for Sunday’s race!

#Azerba…",p charles p carlos exciting day team grid set sundays race,0,370,Quali,AzerbaijanGP
1651956215939842052,2023-04-28 14:27:08+00:00,Twitter for iPhone,"#CashAppUK #CashAppFriday 
Happy Friday 💙 https://t.co/fSsh3Mu37B",happy friday,0,0,"CashAppUK, CashAppFriday",CashAppUK
1651959775460982784,2023-04-28 14:41:17+00:00,Hootsuite Inc.,The perfect solution for that fun activity over #BankHolidayWeekend in Newcastle as our group of stags demonstrated… https://t.co/Z8BoZj418Z,perfect solution fun activity newcastle group stags demonstrated,1,0,BankHolidayWeekend,BankHolidayWeekend
1651945767471292416,2023-04-28 13:45:37+00:00,Buffer,"#PaydayPizza! 🍕

A perfect start to the bank holiday weekend!

Great company, good food and lots of laughs.

Which… https://t.co/Ho2b3er58c",perfect start bank holiday weekend great company good food lots laughs.which,0,0,PaydayPizza,BankHolidayWeekend
1651960567844806657,2023-04-28 14:44:25+00:00,Twitter for iPhone,#CashAppUK £unknown2203 ✅,unknown,0,0,CashAppUK,CashAppUK
1651959146277748742,2023-04-28 14:38:47+00:00,Twitter for iPhone,RT @NursingTimes: Our last award goes to John Wells from @LJMU winner of #SNTA Most Inspirational Student Nurse of the Year category sponso…,last award goes john wells winner inspirational student nurse year category sponso,0,1,SNTA,SNTA
1651950123218264064,2023-04-28 14:02:55+00:00,Twitter for Android,Trying to watch what is already a random qualifying session whilst working 2 jobs from 3 laptops 😂😭. Sainz is nowhere #BakuGP #F1,trying watch already random qualifying session whilst working jobs laptops sainz nowhere,0,0,"BakuGP, F1",Sainz
1651942900521893889,2023-04-28 13:34:13+00:00,Twitter for Android,"Who lent Boris Johnson the money
#Russians
#PPEScandal kickback
#Testandtrace kickback
#CashforPearages
The list co… https://t.co/lDNBHE4UA6",lent boris johnson money kickback kickback list co,1,1,"Russians, PPEScandal, Testandtrace, CashforPearages",Boris Johnson
1651963426573361153,2023-04-28 14:55:47+00:00,Twitter for iPhone,"RT @CLeclercFansUK: Things you love to see 👍 #AzerbaijanGP #Charles16 

📸 @jamesmoy https://t.co/ufn5Yd50g1",things love see,0,6,"AzerbaijanGP, Charles16",AzerbaijanGP
1651849733978062857,2023-04-28 07:24:01+00:00,Loomly,"Just to advise that we will be closed this coming Monday (1st May) for the bank holiday.

#Synetica #BankHoliday… https://t.co/mx53dX4xA6",advise closed coming monday st may bank holiday,0,0,"Synetica, BankHoliday",BankHolidayWeekend
1651101746620399616,2023-04-26 05:51:47+00:00,Twitter for iPad,Planning your #BankHolidayWeekend reading why not head off with @Heidi_Swain you can get both of these gorgeous rea… https://t.co/j0FA01bNuy,planning reading head get gorgeous rea,5,5,BankHolidayWeekend,BankHolidayWeekend
1651117573780504577,2023-04-26 06:54:40+00:00,Twitter for Android,"RT @TheSpursWatch: #OnThisDay in 2008, #Tottenham agreed a £16.5 million deal with Dinamo Zagreb for Luka Modrić!

⚪️ 160 appearances
⚽️ 17…",agreed million deal dinamo zagreb luka modri appearances,0,34,"OnThisDay, Tottenham",Sainz
1651177802555871233,2023-04-26 10:54:00+00:00,Twitter Web App,"Need to ""talk"" to someone about your #MentalHealth? Text WOO in #Worcestershire to  85258 - free, confidential, all… https://t.co/PBsxz4mEtV",need talk someone text woo free confidential,1,2,"MentalHealth, Worcestershire",BankHolidayWeekend
1651210181911490563,2023-04-26 13:02:40+00:00,Buffer,If #BankHolidayWeekend plans include getting your garden summer ready don't forget our flooring extend to the outdo… https://t.co/TLNOeQquBX,plans include getting garden summer ready dont forget flooring extend outdo,0,0,BankHolidayWeekend,BankHolidayWeekend
1651948037743230976,2023-04-28 13:54:38+00:00,Twitter for Android,"@Parody_PM ...but that this breach over #BoJo's £800K loan was ""inadvertent and not material""
https://t.co/iKFCHlRO8I",... breach k loan inadvertent material,1,0,BoJo,Richard Sharp
1651964516622639104,2023-04-28 15:00:07+00:00,Twittimer,"We must #FundEducation now to achieve #SDG4: equitable, inclusive quality education for all. No exceptions.

Please… https://t.co/Rzexbz8PJO",must achieve equitable inclusive quality education exceptions.please,2,0,"FundEducation, SDG4",FridayFeeling
