id,created_at,source,original_text,clean_text,favorite_count,retweet_count,hashtags,trend
1651958012364599297,2023-04-28 14:34:16+00:00,Twitter for Android,"RT @Mohan13520563: #GodNightFriday
If someone doesn't take refuge in Saint Rampal Ji Maharaj then the birth in 84 lakh species of life is d…",someone doesnt take refuge saint rampal ji maharaj birth lakh species life,0,5,GodNightFriday,fridaymorning
1651930687660871681,2023-04-28 12:45:41+00:00,Twitter for iPhone,"My favorite tree is poetry. 🌳

#ArborDay #NationalPoetryMonth",favorite tree poetry,2,0,"ArborDay, NationalPoetryMonth",ArborDay
1651958515613794306,2023-04-28 14:36:16+00:00,Twitter Web App,"He's the best in Q3, always pulls it out on that second run. #AzerbaijanGP https://t.co/3hikvDE8ts",hes best q always pulls second run,1,0,AzerbaijanGP,AzerbaijanGP
1650626365534633984,2023-04-24 22:22:47+00:00,Twitter for Android,RT @pylade2019: @arborday Brill idea for #ArborDay! If only @arborday #TreeCityOfTheWorld @MADRID didn't use the number of weedy saplings p…,brill idea didnt use number weedy saplings p,0,1,"ArborDay, TreeCityOfTheWorld",ArborDay
1651925526825652227,2023-04-28 12:25:11+00:00,Twitter for Android,"Still at it. 

@tyrisabranding @mofaya_official @djsbu #mofaya #FridayMotivation #fridaymorning https://t.co/J8mFJIo0vg",still,3,0,"mofaya, FridayMotivation, fridaymorning",fridaymorning
1651924200217624580,2023-04-28 12:19:55+00:00,Twitter for iPhone,what are your fav bands? #onlyjonah,fav bands,0,0,onlyjonah,onlyjonah
1651799603480543232,2023-04-28 04:04:49+00:00,The pretty BBC 6 Music Bot,"🔊 #NowPlaying on #BBC6Music's #TheRemixWithChrisHawkins

OutKast:
  🎵 Roses (PLSTY Remix)

#OutKast… https://t.co/ZfrM3pkQhS",roses plsty remix,0,0,"NowPlaying, BBC6Music, TheRemixWithChrisHawkins, OutKast",Outkast
1651947738630594563,2023-04-28 13:53:27+00:00,Twitter Web App,"RT @MAP_2016: GM and Happy Friday! My favourite bird, the Long Tailed Tit. Small, cute and very quick!

#BirdsSeenIn2023 #BirdsOfTwitter #b…",gm happy friday favourite bird long tailed tit small cute quick,0,1,"BirdsSeenIn2023, BirdsOfTwitter",fridaymorning
1651957969586647040,2023-04-28 14:34:06+00:00,Twitter for Android,"Where he belongs, where Ferrari belongs 😭❤️
#AzerbaijanGP https://t.co/JCETqadOmG https://t.co/9M1JdDmAOQ",belongs ferrari belongs,0,0,AzerbaijanGP,AzerbaijanGP
1651936678758559744,2023-04-28 13:09:30+00:00,Twitter Web App,"Let the weekend begin.... #FriYAY #FridayFeeling #TGIF
https://t.co/L0MXzque8d",let weekend begin .... //,0,0,"FriYAY, FridayFeeling, TGIF",FridayFeeling
1651957803118985217,2023-04-28 14:33:26+00:00,Twitter Web App,"RT @SuperSportBlitz: Ferrari’s Charles Leclerc clinched pole position at the #AzerbaijanGP for the 3rd consecutive year, with Max Verstappe…",ferraris charles leclerc clinched pole position rd consecutive year max verstappe,0,2,AzerbaijanGP,AzerbaijanGP
1651959437702352897,2023-04-28 14:39:56+00:00,Twitter Web App,Jack harlow. Summrs #Music #Elonmusk,jack harlow summrs,1,0,"Music, Elonmusk",Jack Harlow
1651947387898789890,2023-04-28 13:52:03+00:00,Twitter for iPhone,If you’re home on this wonderful #fridaymorning why not check out the new #PeterPanAndWendy movie to support Noah’s… https://t.co/FKPW1dIfnU,youre home wonderful check new movie support noahs,3,0,"fridaymorning, PeterPanAndWendy",fridaymorning
1651919663058628608,2023-04-28 12:01:53+00:00,Twitter for iPhone,@JonahMarais would you ever do a tour in latam some day? 🥺 #OnlyJonah,would ever tour latam day,0,0,OnlyJonah,onlyjonah
1651919568401575936,2023-04-28 12:01:30+00:00,Twitter for Android,"RT @Eli_Krumova: #HappyFriday #Twitter Friends 🌞

🎦The #Future of Delivery📦: @Zipline uses sound-based #technology for #drone-delivery👇🏽
@Q…",friends delivery uses sound-based -delivery,0,96,"HappyFriday, Twitter, Future, technology, drone",fridaymorning
1651933050849173504,2023-04-28 12:55:05+00:00,Twitter for Android,RT @Stoneham_Cats: Shinobi exclaims... It's Friday! #CatsOfTwitter #FridayFeeling https://t.co/yg8ie6IxGQ,shinobi exclaims ... friday,0,1,"CatsOfTwitter, FridayFeeling",FridayFeeling
1651949394416087040,2023-04-28 14:00:02+00:00,Sprinklr,Plan before you plant! 4 common mistakes to avoid when planting a tree: https://t.co/ajRDu0XQ2u. #ArborDay https://t.co/2pjVkE75mm,plan plant common mistakes avoid planting tree,0,0,ArborDay,ArborDay
1651957816687579136,2023-04-28 14:33:30+00:00,Rt_Bot ,"RT @Freezer_Roebuck: The Internet is sorted so #FridayFortnite later while I have a few beers, should be fun, hope to see you then. #Fortni…",internet sorted later beers fun hope see,0,2,FridayFortnite,FridayFeeling
1651930512649252866,2023-04-28 12:45:00+00:00,Twitter for iPhone,@JonahMarais do u like to produce slow sad songs or funky upbeat songs ? #onlyjonah,u like produce slow sad songs funky upbeat songs,0,0,onlyjonah,onlyjonah
1651899612574121984,2023-04-28 10:42:13+00:00,Twitter for iPhone,RT @BR1_Solutions: Happy #ArborDay 🌳 The origins of Arbor Day date back to the early 1870s in Nebraska City. Check out these 10 famous tree…,happy origins arbor day date back early nebraska city check famous tree,0,1,ArborDay,ArborDay
1651932254678175746,2023-04-28 12:51:55+00:00,Twitter for iPhone,#OnlyJonah do you ever miss being younger?,ever miss younger,0,0,OnlyJonah,onlyjonah
1651914503859126274,2023-04-28 11:41:23+00:00,Twitter Web App,Would you rather plant a tree or watch Batman Returns? #WouldYouRather #poll #polls #polloftheday #ArborDay #NationalSuperheroDay,would rather plant tree watch batman returns,0,0,"WouldYouRather, poll, polls, polloftheday, ArborDay, NationalSuperheroDay",ArborDay
1651905715274133504,2023-04-28 11:06:28+00:00,Twitter for Android,"RT @Mohan13520563: #GodMorningFriday
Supreme God KavirDev (God Kabir)
Has Himself given the complete knowledge (Tatvgyan) of the nature cre…",god kavirdev god kabir given complete knowledge tatvgyan nature cre,0,15,GodMorningFriday,fridaymorning
1651958144807862272,2023-04-28 14:34:48+00:00,Twitter for Android,RT @sesamestreet: We be-leaf in you. Happy #ArborDay! 💚 https://t.co/xIq0AVxabI,be-leaf happy,0,84,ArborDay,ArborDay
1651924047985254400,2023-04-28 12:19:18+00:00,Twitter for Android,@JonahMarais are you planning on coming to Austria (Vienna) soon? 👀 #OnlyJonah,planning coming austria vienna soon,0,0,OnlyJonah,onlyjonah
1651920244426919940,2023-04-28 12:04:12+00:00,Twitter for iPhone,@JonahMarais Hot or cold coffee #OnlyJonah,hot cold coffee,0,0,OnlyJonah,onlyjonah
1649350230012198912,2023-04-21 09:51:52+00:00,Twitter Web App,"#MaikenKelp
https://t.co/JpS2slB4Aa
#MaikenTUlev #TUlev #Kelp #Meigo
#MargusMEigo #MeigoMargus
Maiken Kelp Tulev Ma… https://t.co/vaap1dKfeJ",// kelp tulev,0,0,"MaikenKelp, MaikenTUlev, TUlev, Kelp, Meigo, MargusMEigo, MeigoMargus",ArborDay
1651924357982060545,2023-04-28 12:20:32+00:00,Twitter for iPhone,"if you could move to another country, which would it be and why? #onlyjonah",could move another country would,0,0,onlyjonah,onlyjonah
1651943064770867200,2023-04-28 13:34:52+00:00,Twitter Web App,"RT @EnjoyingNorfolk: *Finally* Friday 🥳

📍 West Runton beach, Norfolk.

#EnjoyingNorfolk #FridayFeeling https://t.co/UBhVsxL3GB",finally friday west runton beach norfolk,0,0,"EnjoyingNorfolk, FridayFeeling",FridayFeeling
1651935502042378247,2023-04-28 13:04:49+00:00,Twitter for Android,"If you could do a collab with any artist, who would it be and why? #OnlyJonah",could collab artist would,0,0,OnlyJonah,onlyjonah
1651957902486192129,2023-04-28 14:33:50+00:00,Twitter Web App,"#Formula1 2023 - Qualifying 1
Baku #AzerbaijanGP #NewsMotoEc #F1 https://t.co/PQctop2pLi",qualifying baku,0,0,"Formula1, AzerbaijanGP, NewsMotoEc, F1",AzerbaijanGP
1651919549330075712,2023-04-28 12:01:26+00:00,Twitter for iPhone,favorite movie rn #onlyjonah,favorite movie rn,0,0,onlyjonah,onlyjonah
1651919873507749889,2023-04-28 12:02:43+00:00,Twitter for Android,@JonahMarais #onlyjonah how do you honestly feel about fanart?,honestly feel fanart,0,0,onlyjonah,onlyjonah
1651919742280818688,2023-04-28 12:02:12+00:00,Twitter for iPhone,@JonahMarais Your favourite thing about being an artist? #OnlyJonah,favourite thing artist,0,0,OnlyJonah,onlyjonah
